CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL
6,LC,63448,C,19,0,,3.18825,1.2588,0.17432,AZUL,577,,0,
8,LC,21377,A,14,0,,1.72932,1.85051,0.14869,AZUL,577,,0,
9,LC,112138,A,20,0,,1.52123,1.91811,0.18523,AZUL,577,,0,
10,LC,112059,C,23,0,,1.10742,1.64,0.25509,AZUL,577,,0,
11,LC,96433,B,16,0,,1.93001,1.02406,0.14189,AZUL,577,,0,
12,LC,112112,A,20,0,,1.74167,1.51202,0.24386,AZUL,577,,0,
13,LC,112089,E,28,0,,1.60955,0.26979,0.20531,AZUL,577,,0,
16,LC,96861,E,17,0,,2.41993,1.10401,0.14865,AZUL,577,,0,
17,LC,59955,D,10,0,,1.68626,0.30607,0.14643,AZUL,577,,0,
18,LC,17055,A,16,0,,1.35608,1.44454,0.23512,AZUL,577,,0,
19,LC,111819,C,4,0,,2.86286,1.44944,0.21361,AZUL,577,,0,
21,LC,30842,B,13,0,,0.35878,5.45136,0.16296,AZUL,577,,0,
23,LC,17413,A,22,0,,2.78735,1.75256,0.1497,AZUL,577,,0,
24,LC,112151,D,27,0,,3.32308,1.49208,0.18606,AZUL,577,,0,
27,LC,76967,D,18,0,,1.73723,-0.11868,0.05058,AZUL,577,,0,
28,LC,11437,E,14,0,,1.16098,1.0073,0.21912,AZUL,577,,0,
29,LC,12204,B,23,0,,1.62712,0.53489,0.10236,AZUL,577,,0,
31,LC,111850,E,1,0,,1.40709,0.81183,0.17507,AZUL,577,,0,
32,LC,84295,B,23,0,,1.28796,0.07454,0.01332,AZUL,577,,0,
34,LC,16501,A,16,0,,2.14866,2.2551,0.25595,AZUL,577,,0,
35,LC,44328,A,9,0,,1.7744,0.02359,0.1871,AZUL,577,,0,
36,LC,96814,D,11,0,,1.70534,0.36247,0.17758,AZUL,577,,0,
38,LC,111989,A,24,0,,1.48285,1.91416,0.16479,AZUL,577,,0,
39,LC,111903,C,3,0,,2.2083,0.2591,0.17176,AZUL,577,,0,
40,LC,11966,A,18,0,,1.22111,1.6828,0.21162,AZUL,577,,0,
41,LC,18128,A,26,0,,2.46437,1.68698,0.1109,AZUL,577,,0,
42,LC,112087,A,10,0,,2.07488,0.54207,0.20064,AZUL,577,,0,
43,LC,33271,D,29,0,,2.51134,-0.5151,0.0477,AZUL,577,,0,
45,LC,20652,B,15,0,,2.46676,2.21741,0.13534,AZUL,577,,0,
