CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
6,LC,15069,B,1.0,0,,1.77244,0.23114,0.00953,AZUL,889,,
7,LC,120165,D,25.0,0,,2.9592,0.57101,0.16401,AZUL,889,,
8,LC,118073,C,24.0,0,,1.68791,0.79504,0.13105,AZUL,889,,
10,LC,97519,E,18.0,0,,2.39514,-0.22063,0.05035,AZUL,889,,
11,LC,68920,A,20.0,0,,0.96148,-0.66104,0.01713,AZUL,889,,
15,LC,120646,D,14.0,0,,1.57672,1.15232,0.16243,AZUL,889,,
16,LC,86515,B,24.0,0,,2.19688,0.92018,0.10506,AZUL,889,,
17,LC,120170,E,9.0,0,,1.9866,1.65243,0.11374,AZUL,889,,
19,LC,118218,D,9.0,0,,2.68787,0.62089,0.26778,AZUL,889,,
20,LC,120623,D,30.0,0,,1.58074,1.24997,0.12025,AZUL,889,,
21,LC,83331,A,22.0,0,,2.89764,0.57674,0.16815,AZUL,889,,
22,LC,86329,B,26.0,0,,1.80201,0.20928,0.18024,AZUL,889,,
23,LC,119763,B,14.0,0,,3.83474,0.4663,0.21265,AZUL,889,,
24,LC,118240,B,15.0,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,AZUL,889,,
25,LC,118279,B,16.0,0,,3.09031,2.70264,0.06863,AZUL,889,,
26,LC,118269,D,18.0,0,,0.88199,2.40855,0.2075,AZUL,889,,
29,LC,96262,C,23.0,0,,2.71876,0.24855,0.1477,AZUL,889,,
30,LC,120154,E,27.0,0,,2.51375,1.26329,0.13472,AZUL,889,,
31,LC,118205,A,11.0,0,,1.01454,0.06185,0.06182,AZUL,889,,
32,LC,120375,D,19.0,0,,2.39615,1.63316,0.20335,AZUL,889,,
35,LC,39441,D,17.0,0,,1.19989,0.74738,0.0877,AZUL,889,,
39,LC,118231,A,25.0,0,,1.42609,-0.65267,0.00765,AZUL,889,,
40,LC,118250,C,17.0,0,,1.91893,0.83254,0.0852,AZUL,889,,
41,LC,37831,D,16.0,0,,0.66145,1.56218,0.00747,AZUL,889,,
45,LC,86594,C,23.0,0,,2.2723,1.56986,0.20724,AZUL,889,,
